"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"2d1ccd29-638e-4a28-a7d3-e46d256b505c","VIRGIL, AENEID, BOOK 2.txt","Troy","char-offset:1132","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"191c778d-8426-41ee-be2a-d8f4063c84c5","VIRGIL, AENEID, BOOK 2.txt","Troy","char-offset:3080","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"aa80fd2c-53a3-4e01-a226-39dc91454c56","VIRGIL, AENEID, BOOK 2.txt","Troy","char-offset:3446","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"ae60524e-f625-46e2-9ba2-eadf6569a989","VIRGIL, AENEID, BOOK 2.txt","Troy","char-offset:10905","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"ee273b16-dc77-4b91-88a3-c48b37f98d9c","VIRGIL, AENEID, BOOK 2.txt","Troy","char-offset:11200","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"cfc49b62-0eeb-43ea-83b2-0bfda12e6c2d","VIRGIL, AENEID, BOOK 2.txt","Troy","char-offset:16835","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"f9908e28-300c-4d82-b9f5-0764a84fcae0","VIRGIL, AENEID, BOOK 2.txt","Troy","char-offset:17041","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"a2813ef8-dae7-43d4-9acb-f941bd1c606c","VIRGIL, AENEID, BOOK 2.txt","Troy","char-offset:33500","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"d231ddf7-e701-4f2c-8edd-0ac014e51aa1","VIRGIL, AENEID, BOOK 2.txt","Troy","char-offset:34417","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"c8df0a0f-aa8b-46a2-9ed3-7e28df157206","VIRGIL, AENEID, BOOK 2.txt","Troy","char-offset:34728","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"0030dc17-b0b4-4cd1-8179-f6b57be6d9ee","VIRGIL, AENEID, BOOK 2.txt","Troy","char-offset:37267","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"6ac57216-9292-471d-8eac-3eac02f4c9ba","VIRGIL, AENEID, BOOK 2.txt","Troy","char-offset:39509","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"8c1a919d-dff8-4b30-acd7-ef1b28318806","VIRGIL, AENEID, BOOK 2.txt","Troy","char-offset:44684","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"6dcd2bd7-4315-40cd-9dd5-7cdf0d5b060d","VIRGIL, AENEID, BOOK 2.txt","Troy","char-offset:45725","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"024e075e-1b39-4f69-ab21-9a3a0f4cb219","VIRGIL, AENEID, BOOK 2.txt","Ida","char-offset:47987","PLACE","http://pleiades.stoa.org/places/550592","Ida M.|Ida Mons, Kaz Dağ","-0750/0300","39.69936","26.85852","mountain","VERIFIED","","","",""
